#EXPORTTYPE:                 ;DATA ALL                                           
#FILE:                       ;BM_80CASH01_20CH.ngb-ds3                           
#FORMAT:                     ;NETZSCH5                                           
#FTYPE:                      ;ANSI                                               
#IDENTITY:                   ;BM_80CASH01_20CH                                   
#DECIMAL:                    ;POINT                                              
#SEPARATOR:                  ;SEMICOLON                                          
#MTYPE:                      ;TG                                                 
#INSTRUMENT:                 ;NETZSCH STA 449F3                                  
#PROJECT:                    ;                                                   
#DATE/TIME:                  ;19.02.2026 12:55:17 (UTC+1)                        
#CORR. FILE:                 ;Basis Al203_950C_10 kmin_15.01.24.ngb-bs3          
#TEMPCAL:                    ;Temperaturkalibrierung Al203_12.12.25.ngb-ts3      
#SENSITIVITY:                ;Empfindlichkeitskalibrierung Al203_12.12.25.ngb-es3
#LABORATORY:                 ;                                                   
#OPERATOR:                   ;LS                                                 
#REMARK:                     ;                                                   
#SAMPLE:                     ;BM_80CASH01_20CH                                   
#SAMPLE MASS /mg:            ;24.3                                               
#MATERIAL:                   ;                                                   
#REFERENCE:                  ;Referenz                                           
#REFERENCE MASS /mg:         ;0                                                  
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                   
#SAMPLE CRUCIBLE MASS /mg:   ;144.5                                              
#REFERENCE CRUCIBLE MASS /mg:;138.2                                              
#DSC RANGE /µV:              ;5000                                               
#TG RANGE /mg:               ;35000                                              
#TAU-R:                      ;---                                                
#CORR. CODE:                 ;020                                                
#EXO:                        ;-1                                                 
#RANGE:                      ;25°C/10.0(K/min)/950°C                             
#SEGMENT:                    ;S1/1                                               
#SEG. 1:                     ;25°C/10.0(K/min)/950°C                             

##Temp./°C;Time/min;Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);DTG/(%/min);Sensit./(uV/mW)
 21.04200; 0.00000;100.00000;21.00000;20.00000;      -0.82035;1.13212
 21.04100; 0.01000; 99.99177;20.00000;19.00000;      -0.78244;1.13212
 21.03800; 0.02000; 99.98354;20.00000;20.00000;      -0.74453;1.13212
 21.05100; 0.03000; 99.97531;20.00000;20.00000;      -0.70662;1.13211
 21.04400; 0.04000; 99.97119;20.00000;20.00000;      -0.67954;1.13212
 21.04200; 0.05000; 99.96296;20.00000;20.00000;      -0.69294;1.13212
 21.04900; 0.06000; 99.95885;20.00000;20.00000;      -0.73354;1.13211
 21.04600; 0.07000; 99.95062;20.00000;20.00000;      -0.78408;1.13211
 21.03900; 0.08000; 99.94239;20.00000;20.00000;      -0.83151;1.13212
 21.03400; 0.09000; 99.93004;20.00000;20.00000;      -0.86440;1.13213
 21.04800; 0.10000; 99.92593;20.00000;20.00000;      -0.87637;1.13211
 21.03300; 0.11000; 99.91358;20.00000;20.00000;      -0.87037;1.13213
 21.05400; 0.12000; 99.90535;20.00000;20.00000;      -0.85117;1.13210
 21.03700; 0.13000; 99.89712;20.00000;20.00000;      -0.82305;1.13213
 21.05700; 0.14000; 99.88889;20.00000;20.00000;      -0.79482;1.13210
 21.03100; 0.15000; 99.88066;20.00000;20.00000;      -0.77404;1.13213
 21.04600; 0.16000; 99.87654;20.00000;20.00000;      -0.76258;1.13211
 21.05700; 0.17000; 99.86420;20.00000;20.00000;      -0.75942;1.13210
 21.07000; 0.18000; 99.86008;20.00000;20.00000;      -0.76007;1.13208
 21.05100; 0.19000; 99.85185;20.00000;20.00000;      -0.75544;1.13211
 21.04500; 0.20000; 99.84362;20.00000;20.00000;      -0.73639;1.13211
 21.05900; 0.21000; 99.83539;20.00000;20.00000;      -0.69987;1.13209
 21.05600; 0.22000; 99.82716;20.00000;20.00000;      -0.65080;1.13210
 21.04800; 0.23000; 99.82305;20.00000;20.00000;      -0.59863;1.13211
 21.05600; 0.24000; 99.81893;20.00000;20.00000;      -0.54841;1.13210
 21.06700; 0.25000; 99.81070;20.00000;20.00000;      -0.49915;1.13208
 21.05100; 0.26000; 99.80658;20.00000;20.00000;      -0.44836;1.13211
 21.06500; 0.27000; 99.80247;20.00000;20.00000;      -0.40062;1.13209
 21.05100; 0.28000; 99.79835;20.00000;20.00000;      -0.36790;1.13211
 21.05100; 0.29000; 99.79835;20.00000;20.00000;      -0.35055;1.13211
 21.05000; 0.30000; 99.79424;20.00000;20.00000;      -0.33945;1.13211
 21.07500; 0.31000; 99.78601;20.00000;20.00000;      -0.32920;1.13207
 21.05900; 0.32000; 99.78601;20.00000;20.00000;      -0.31593;1.13209
 21.07200; 0.33000; 99.78601;20.00000;20.00000;      -0.29920;1.13208
 21.07200; 0.34000; 99.77778;20.00000;20.00000;      -0.28173;1.13208
 21.07500; 0.35000; 99.77778;20.00000;20.00000;      -0.26267;1.13207
 21.06700; 0.36000; 99.77366;20.00000;20.00000;      -0.23968;1.13208
 21.07500; 0.37000; 99.77366;20.00000;20.00000;      -0.21941;1.13207
 21.07200; 0.38000; 99.76955;20.00000;20.00000;      -0.20608;1.13208
 21.07300; 0.39000; 99.76955;20.00000;20.00000;      -0.20072;1.13208
 21.06400; 0.40000; 99.76543;20.00000;20.00000;      -0.20831;1.13209
