#EXPORTTYPE:                 ;DATA ALL                                           
#FILE:                       ;FN_80cRCPCEMIZPNK_20CH_moerser5min.ngb-ds3         
#FORMAT:                     ;NETZSCH5                                           
#FTYPE:                      ;ANSI                                               
#IDENTITY:                   ;FN_80cRCP_20CH                                     
#DECIMAL:                    ;POINT                                              
#SEPARATOR:                  ;SEMICOLON                                          
#MTYPE:                      ;TG                                                 
#INSTRUMENT:                 ;NETZSCH STA 449F3                                  
#PROJECT:                    ;                                                   
#DATE/TIME:                  ;27.01.2026 17:17:31 (UTC+1)                        
#CORR. FILE:                 ;Basis Al203_950C_10 kmin_15.01.24.ngb-bs3          
#TEMPCAL:                    ;Temperaturkalibrierung Al203_12.12.25.ngb-ts3      
#SENSITIVITY:                ;Empfindlichkeitskalibrierung Al203_12.12.25.ngb-es3
#LABORATORY:                 ;                                                   
#OPERATOR:                   ;LS                                                 
#REMARK:                     ;                                                   
#SAMPLE:                     ;FN_80cRCP_20CH                                     
#SAMPLE MASS /mg:            ;23.7                                               
#MATERIAL:                   ;                                                   
#REFERENCE:                  ;Referenz                                           
#REFERENCE MASS /mg:         ;0                                                  
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                   
#SAMPLE CRUCIBLE MASS /mg:   ;138.2                                              
#REFERENCE CRUCIBLE MASS /mg:;148.4                                              
#DSC RANGE /µV:              ;5000                                               
#TG RANGE /mg:               ;35000                                              
#TAU-R:                      ;---                                                
#CORR. CODE:                 ;020                                                
#EXO:                        ;-1                                                 
#RANGE:                      ;25°C/10.0(K/min)/950°C                             
#SEGMENT:                    ;S1/1                                               
#SEG. 1:                     ;25°C/10.0(K/min)/950°C                             

##Temp./°C;Time/min;Mass/%;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);DTG/(%/min);Sensit./(uV/mW)
 22.02900; 0.00000;100.00000;20.00000;20.00000; 5.525417e-002;1.13074
 22.03600; 0.01000;100.00000;20.00000;20.00000;-6.075567e-003;1.13073
 22.04300; 0.02000;100.00000;20.00000;20.00000;-6.740530e-002;1.13072
 22.05000; 0.03000;100.00000;20.00000;20.00000;      -0.12874;1.13071
 22.06000; 0.04000;100.00000;20.00000;20.00000;      -0.17285;1.13070
 22.06200; 0.05000; 99.99156;20.00000;20.00000;      -0.16573;1.13070
 22.05700; 0.06000; 99.99156;20.00000;20.00000;      -0.12752;1.13070
 22.06700; 0.07000; 99.99156;20.00000;20.00000;-8.012062e-002;1.13069
 22.07400; 0.08000; 99.99156;20.00000;20.00000;-4.199823e-002;1.13068
 22.05900; 0.09000; 99.99156;20.00000;20.00000;-2.843698e-002;1.13070
 22.07200; 0.10000; 99.99156;20.00000;20.00000;-4.210257e-002;1.13068
 22.08200; 0.11000; 99.99156;20.00000;20.00000;-8.184346e-002;1.13067
 22.10000; 0.12000; 99.99156;20.00000;20.00000;      -0.13413;1.13064
 22.08600; 0.13000; 99.99156;20.00000;20.00000;      -0.17786;1.13066
 22.11400; 0.14000; 99.98312;20.00000;20.00000;      -0.19865;1.13063
 22.09500; 0.15000; 99.98312;20.00000;20.00000;      -0.19225;1.13065
 22.09900; 0.16000; 99.98312;20.00000;20.00000;      -0.16631;1.13065
 22.11000; 0.17000; 99.97890;20.00000;20.00000;      -0.13712;1.13063
 22.13100; 0.18000; 99.97890;20.00000;20.00000;      -0.11768;1.13060
 22.13100; 0.19000; 99.97890;20.00000;20.00000;      -0.10702;1.13060
 22.12200; 0.20000; 99.97890;20.00000;20.00000;      -0.10050;1.13061
 22.12200; 0.21000; 99.97468;20.00000;20.00000;-9.351126e-002;1.13061
