#EXPORTTYPE:                 ;DATA ALL                                           
#FILE:                       ;Portlandit_gemahlen.ngb-ds3                        
#FORMAT:                     ;NETZSCH5                                           
#FTYPE:                      ;ANSI                                               
#IDENTITY:                   ;Portlandit_gemahlen                                
#DECIMAL:                    ;POINT                                              
#SEPARATOR:                  ;SEMICOLON                                          
#MTYPE:                      ;FLOW                                               
#INSTRUMENT:                 ;NETZSCH STA 449F3                                  
#PROJECT:                    ;                                                   
#DATE/TIME:                  ;26.01.2026 11:27:18 (UTC+1)                        
#CORR. FILE:                 ;Basis Al203_950C_10 kmin_15.01.24.ngb-bs3          
#TEMPCAL:                    ;Temperaturkalibrierung Al203_12.12.25.ngb-ts3      
#SENSITIVITY:                ;Empfindlichkeitskalibrierung Al203_12.12.25.ngb-es3
#LABORATORY:                 ;                                                   
#OPERATOR:                   ;LS                                                 
#REMARK:                     ;                                                   
#SAMPLE:                     ;Portlandit_gemahlen                                
#SAMPLE MASS /mg:            ;24.7                                               
#MATERIAL:                   ;                                                   
#REFERENCE:                  ;Referenz                                           
#REFERENCE MASS /mg:         ;0                                                  
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                   
#SAMPLE CRUCIBLE MASS /mg:   ;145.8                                              
#REFERENCE CRUCIBLE MASS /mg:;148.4                                              
#DSC RANGE /µV:              ;5000                                               
#TG RANGE /mg:               ;35000                                              
#TAU-R:                      ;---                                                
#CORR. CODE:                 ;0                                                  
#EXO:                        ;-1                                                 
#RANGE:                      ;25°C/10.0(K/min)/950°C                             
#SEGMENT:                    ;S1/1                                               
#SEG. 1:                     ;25°C/10.0(K/min)/950°C                             

##Temp./°C;Time/min;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Mass/%;DTG/(%/min);Sensit./(uV/mW)
 22.26900; 0.00000;20.00000;20.00000;100.00000; 1.373639e-002;1.13041
 22.28300; 0.01000;20.00000;20.00000;100.00000; 6.506710e-003;1.13039
 22.26200; 0.02000;20.00000;20.00000;100.00000;-7.229678e-004;1.13042
 22.25500; 0.03000;20.00000;20.00000;100.00000;-7.952645e-003;1.13043
 22.26100; 0.04000;20.00000;20.00000;100.00000;-1.849603e-002;1.13042
 22.26400; 0.05000;20.00000;20.00000;100.00000;-3.833867e-002;1.13042
 22.26900; 0.06000;20.00000;20.00000;100.00000;-6.093835e-002;1.13041
 22.26100; 0.07000;20.00000;20.00000;100.00000;-7.608322e-002;1.13042
 22.25800; 0.08000;20.00000;20.00000; 99.99595;-7.608322e-002;1.13042
 22.26400; 0.09000;20.00000;20.00000; 99.99595;-6.093835e-002;1.13042
 22.27900; 0.10000;20.00000;20.00000; 99.99595;-3.833867e-002;1.13040
 22.27800; 0.11000;20.00000;20.00000; 99.99595;-1.839591e-002;1.13040
 22.27500; 0.12000;20.00000;20.00000; 99.99595;-5.168377e-003;1.13040
 22.26100; 0.13000;20.00000;20.00000; 99.99595; 5.168377e-003;1.13042
 22.27900; 0.14000;20.00000;20.00000; 99.99595; 1.839591e-002;1.13040
 22.26600; 0.15000;20.00000;20.00000; 99.99595; 3.833867e-002;1.13041
 22.28400; 0.16000;20.00000;20.00000; 99.99595; 6.093835e-002;1.13039
 22.27200; 0.17000;20.00000;20.00000; 99.99595; 7.608322e-002;1.13040
 22.27100; 0.18000;20.00000;20.00000;100.00000; 7.608322e-002;1.13041
 22.27500; 0.19000;20.00000;20.00000;100.00000; 6.093835e-002;1.13040
 22.27300; 0.20000;20.00000;20.00000;100.00000; 3.833867e-002;1.13040
 22.27000; 0.21000;20.00000;20.00000;100.00000; 1.849603e-002;1.13041
 22.27600; 0.22000;20.00000;20.00000;100.00000; 6.821484e-003;1.13040
 22.28400; 0.23000;20.00000;20.00000;100.00000; 1.653106e-003;1.13039
 22.28200; 0.24000;20.00000;20.00000;100.00000; 1.001133e-004;1.13039
 22.29300; 0.25000;20.00000;20.00000;100.00000; 0.000000e+000;1.13038
 22.27300; 0.26000;20.00000;20.00000;100.00000; 0.000000e+000;1.13040
 22.28300; 0.27000;20.00000;20.00000;100.00000; 0.000000e+000;1.13039
 22.28900; 0.28000;20.00000;20.00000;100.00000; 0.000000e+000;1.13038
 22.27900; 0.29000;20.00000;20.00000;100.00000; 0.000000e+000;1.13040
 22.28900; 0.30000;20.00000;20.00000;100.00000; 0.000000e+000;1.13038
 22.28500; 0.31000;20.00000;20.00000;100.00000; 0.000000e+000;1.13039
 22.30500; 0.32000;20.00000;20.00000;100.00000; 0.000000e+000;1.13036
 22.29000; 0.33000;20.00000;20.00000;100.00000; 0.000000e+000;1.13038
 22.29600; 0.34000;20.00000;20.00000;100.00000; 0.000000e+000;1.13037
 22.28200; 0.35000;20.00000;20.00000;100.00000; 0.000000e+000;1.13039
 22.30100; 0.36000;20.00000;20.00000;100.00000;-1.001133e-004;1.13036
 22.30800; 0.37000;20.00000;20.00000;100.00000;-1.552993e-003;1.13035
 22.28700; 0.38000;20.00000;20.00000;100.00000;-5.168377e-003;1.13038
 22.29300; 0.39000;20.00000;20.00000;100.00000;-1.167454e-002;1.13038
 22.30500; 0.40000;20.00000;20.00000;100.00000;-1.984264e-002;1.13036
 22.31000; 0.41000;20.00000;20.00000;100.00000;-2.259968e-002;1.13035
 22.31000; 0.42000;20.00000;20.00000;100.00000;-1.514487e-002;1.13035
 22.31400; 0.43000;20.00000;20.00000; 99.99595; 0.000000e+000;1.13035
 22.31000; 0.44000;20.00000;20.00000;100.00000; 1.504476e-002;1.13035
 22.30700; 0.45000;20.00000;20.00000;100.00000; 2.094657e-002;1.13036
 22.30800; 0.46000;20.00000;20.00000;100.00000; 1.302116e-002;1.13035
 22.31800; 0.47000;20.00000;20.00000;100.00000;-6.821484e-003;1.13034
 22.32100; 0.48000;20.00000;20.00000;100.00000;-3.317029e-002;1.13034
 22.31300; 0.49000;20.00000;20.00000;100.00000;-5.938536e-002;1.13035
 22.31600; 0.50000;20.00000;20.00000;100.00000;-7.598311e-002;1.13034
 22.32400; 0.51000;20.00000;20.00000; 99.99595;-7.608322e-002;1.13033
 22.33400; 0.52000;20.00000;20.00000; 99.99595;-6.103846e-002;1.13032
 22.33600; 0.53000;20.00000;20.00000; 99.99595;-3.999178e-002;1.13032
 22.33900; 0.54000;20.00000;20.00000; 99.99595;-2.531751e-002;1.13031
 22.33600; 0.55000;20.00000;20.00000; 99.99595;-2.531751e-002;1.13032
 22.33300; 0.56000;20.00000;20.00000; 99.99595;-4.009189e-002;1.13032
 22.33600; 0.57000;20.00000;20.00000; 99.99595;-6.269157e-002;1.13032
 22.35700; 0.58000;20.00000;20.00000; 99.99595;-8.290471e-002;1.13029
 22.34800; 0.59000;20.00000;20.00000; 99.99190;-9.447914e-002;1.13030
 22.34800; 0.60000;20.00000;20.00000; 99.99190;-9.762391e-002;1.13030
 22.36700; 0.61000;20.00000;20.00000; 99.99190;-9.245553e-002;1.13027
 22.37300; 0.62000;20.00000;20.00000; 99.99190;-7.608322e-002;1.13026
 22.37100; 0.63000;20.00000;20.00000; 99.98785;-4.456604e-002;1.13027
 22.37100; 0.64000;20.00000;20.00000; 99.98785;-1.653106e-003;1.13027
 22.36900; 0.65000;20.00000;20.00000; 99.98785; 3.774455e-002;1.13027
 22.38500; 0.66000;20.00000;20.00000; 99.99190; 5.924031e-002;1.13025
 22.38200; 0.67000;20.00000;20.00000; 99.99190; 6.093835e-002;1.13025
 22.38700; 0.68000;20.00000;20.00000; 99.99190; 5.518159e-002;1.13024
 22.39500; 0.69000;20.00000;20.00000; 99.99190; 5.673458e-002;1.13023
 22.38500; 0.70000;20.00000;20.00000; 99.99190; 6.765972e-002;1.13025
 22.39400; 0.71000;20.00000;20.00000; 99.99190; 7.618334e-002;1.13023
 22.41300; 0.72000;20.00000;20.00000; 99.99595; 7.101496e-002;1.13021
 22.42400; 0.73000;20.00000;20.00000; 99.99595; 4.926381e-002;1.13019
 22.42500; 0.74000;20.00000;20.00000; 99.99595; 1.849603e-002;1.13019
 22.42400; 0.75000;20.00000;20.00000; 99.99595;-4.203768e-003;1.13019
 22.43900; 0.76000;20.00000;20.00000; 99.99595;-9.876384e-003;1.13017
 22.43500; 0.77000;20.00000;20.00000; 99.99190;-3.515271e-003;1.13018
 22.44400; 0.78000;20.00000;20.00000; 99.99595; 3.570446e-003;1.13017
 22.44700; 0.79000;20.00000;20.00000; 99.99595; 2.757036e-003;1.13016
 22.46100; 0.80000;20.00000;20.00000; 99.99595;-2.857150e-003;1.13014
 22.47900; 0.81000;20.00000;20.00000; 99.99595;-5.023326e-003;1.13012
 22.46500; 0.82000;20.00000;20.00000; 99.99190; 0.000000e+000;1.13014
 22.47600; 0.83000;20.00000;20.00000; 99.99595; 5.023326e-003;1.13012
 22.48500; 0.84000;20.00000;20.00000; 99.99595; 2.757036e-003;1.13011
 22.49300; 0.85000;20.00000;20.00000; 99.99595;-4.410143e-003;1.13010
 22.49600; 0.86000;20.00000;20.00000; 99.99595;-1.019170e-002;1.13009
 22.51500; 0.87000;20.00000;20.00000; 99.99190;-1.177465e-002;1.13007
 22.51800; 0.88000;20.00000;20.00000; 99.99595;-1.647242e-002;1.13006
 22.53500; 0.89000;20.00000;20.00000; 99.99595;-2.656401e-002;1.13004
 22.54700; 0.90000;20.00000;20.00000; 99.99595;-3.649805e-002;1.13002
 22.54100; 0.91000;20.00000;20.00000; 99.99190;-4.346211e-002;1.13003
 22.56200; 0.92000;20.00000;20.00000; 99.99190;-4.744658e-002;1.13000
 22.56200; 0.93000;20.00000;20.00000; 99.99595;-5.508147e-002;1.13000
 22.57300; 0.94000;20.00000;20.00000; 99.99190;-6.857324e-002;1.12999
 22.58700; 0.95000;20.00000;20.00000; 99.99190;-7.671655e-002;1.12997
 22.60400; 0.96000;20.00000;20.00000; 99.99190;-6.058692e-002;1.12994
 22.59900; 0.97000;20.00000;20.00000; 99.98785;-1.138077e-002;1.12995
 22.60100; 0.98000;20.00000;20.00000; 99.98785; 5.246376e-002;1.12995
 22.61800; 0.99000;20.00000;20.00000; 99.98785; 9.863182e-002;1.12992
 22.62600; 1.00000;20.00000;20.00000; 99.99595; 9.677849e-002;1.12991
 22.63800; 1.01000;20.00000;20.00000; 99.99595; 4.168409e-002;1.12989
 22.65000; 1.02000;20.00000;20.00000; 99.99595;-3.320950e-002;1.12988
 22.65300; 1.03000;20.00000;20.00000; 99.99595;-7.828246e-002;1.12987
 22.68700; 1.04000;20.00000;20.00000; 99.98785;-6.184614e-002;1.12983
 22.69300; 1.05000;20.00000;20.00000; 99.98785; 3.105986e-003;1.12982
 22.70100; 1.06000;20.00000;20.00000; 99.98785; 7.238312e-002;1.12981
 22.71800; 1.07000;20.00000;20.00000; 99.99595;       0.10153;1.12978
 22.71900; 1.08000;20.00000;20.00000; 99.99595; 7.124168e-002;1.12978
 22.74500; 1.09000;20.00000;20.00000; 99.99595;-3.105986e-003;1.12975
 22.74800; 1.10000;20.00000;20.00000; 99.99595;-8.177866e-002;1.12974
 22.76500; 1.11000;20.00000;20.00000; 99.99595;      -0.12488;1.12972
 22.77100; 1.12000;20.00000;20.00000; 99.98785;      -0.11207;1.12971
 22.77300; 1.13000;20.00000;20.00000; 99.98785;-4.830535e-002;1.12971
 22.78700; 1.14000;20.00000;20.00000; 99.98785; 3.155639e-002;1.12969
 22.81000; 1.15000;20.00000;20.00000; 99.98785; 7.818235e-002;1.12966
 22.82100; 1.16000;20.00000;20.00000; 99.99595; 6.184614e-002;1.12964
 22.83800; 1.17000;20.00000;20.00000; 99.99595;-3.105986e-003;1.12962
 22.85400; 1.18000;20.00000;20.00000; 99.99595;-7.238312e-002;1.12959
 22.87600; 1.19000;20.00000;20.00000; 99.98785;      -0.10153;1.12956
 22.89400; 1.20000;20.00000;20.00000; 99.98785;-7.124168e-002;1.12954
 22.89000; 1.21000;20.00000;20.00000; 99.98785; 3.306213e-003;1.12954
 22.92400; 1.22000;20.00000;20.00000; 99.98785; 8.488465e-002;1.12950
 22.92800; 1.23000;20.00000;20.00000; 99.98785;       0.13542;1.12949
 22.93900; 1.24000;20.00000;20.00000; 99.99595;       0.13852;1.12948
 22.95500; 1.25000;20.00000;20.00000; 99.99595; 9.832739e-002;1.12945
 22.96800; 1.26000;20.00000;20.00000; 99.99595; 3.699205e-002;1.12943
 22.99300; 1.27000;20.00000;20.00000; 99.99595;-8.207310e-003;1.12940
 23.01000; 1.28000;20.00000;20.00000; 99.99595;-1.664678e-002;1.12938
 23.02400; 1.29000;20.00000;20.00000; 99.98785; 3.406326e-003;1.12936
 23.03500; 1.30000;20.00000;20.00000; 99.99595; 3.204297e-002;1.12934
 23.06300; 1.31000;20.00000;20.00000; 99.99595; 5.036774e-002;1.12930
 23.08800; 1.32000;20.00000;20.00000; 99.99595; 5.135983e-002;1.12927
 23.10500; 1.33000;20.00000;20.00000; 99.99595; 4.319173e-002;1.12924
 23.11400; 1.34000;20.00000;20.00000; 99.99595; 3.293643e-002;1.12923
 23.13100; 1.35000;20.00000;20.00000; 99.99595; 1.815075e-002;1.12921
 23.15100; 1.36000;20.00000;20.00000;100.00000;-1.452880e-003;1.12918
