#EXPORTTYPE:                 ;DATA ALL                                           
#FILE:                       ;Portlandit_roh.ngb-ds3                             
#FORMAT:                     ;NETZSCH5                                           
#FTYPE:                      ;ANSI                                               
#IDENTITY:                   ;Portlandit_roh                                     
#DECIMAL:                    ;POINT                                              
#SEPARATOR:                  ;SEMICOLON                                          
#MTYPE:                      ;FLOW                                               
#INSTRUMENT:                 ;NETZSCH STA 449F3                                  
#PROJECT:                    ;                                                   
#DATE/TIME:                  ;26.01.2026 07:41:50 (UTC+1)                        
#CORR. FILE:                 ;Basis Al203_950C_10 kmin_15.01.24.ngb-bs3          
#TEMPCAL:                    ;Temperaturkalibrierung Al203_12.12.25.ngb-ts3      
#SENSITIVITY:                ;Empfindlichkeitskalibrierung Al203_12.12.25.ngb-es3
#LABORATORY:                 ;                                                   
#OPERATOR:                   ;LS                                                 
#REMARK:                     ;                                                   
#SAMPLE:                     ;Portlandit_roh                                     
#SAMPLE MASS /mg:            ;23.6                                               
#MATERIAL:                   ;                                                   
#REFERENCE:                  ;Referenz                                           
#REFERENCE MASS /mg:         ;0                                                  
#TYPE OF CRUCIBLE:           ;DSC/TG pan Al2O3                                   
#SAMPLE CRUCIBLE MASS /mg:   ;138.9                                              
#REFERENCE CRUCIBLE MASS /mg:;148.4                                              
#DSC RANGE /µV:              ;5000                                               
#TG RANGE /mg:               ;35000                                              
#TAU-R:                      ;---                                                
#CORR. CODE:                 ;0                                                  
#EXO:                        ;-1                                                 
#RANGE:                      ;25°C/10.0(K/min)/950°C                             
#SEGMENT:                    ;S1/1                                               
#SEG. 1:                     ;25°C/10.0(K/min)/950°C                             

##Temp./°C;Time/min;Gas Flow(purge2)/(ml/min);Gas Flow(protective)/(ml/min);Mass/%;DTG/(%/min);Sensit./(uV/mW)
 23.89700; 0.00000;20.00000;20.00000;100.00000; 1.060635e-012;1.12814
 23.89400; 0.01000;20.00000;20.00000;100.00000; 7.070901e-013;1.12814
 23.89000; 0.02000;20.00000;20.00000;100.00000; 7.070901e-013;1.12815
 23.88400; 0.03000;20.00000;20.00000;100.00000; 4.567775e-013;1.12816
 23.87600; 0.04000;20.00000;20.00000;100.00000; 2.538035e-013;1.12817
 23.87600; 0.05000;20.00000;20.00000;100.00000; 1.019936e-013;1.12817
 23.89300; 0.06000;20.00000;20.00000;100.00000; 7.028054e-015;1.12815
 23.88900; 0.07000;20.00000;20.00000;100.00000; 0.000000e+000;1.12815
 23.87400; 0.08000;20.00000;20.00000;100.00000; 0.000000e+000;1.12817
 23.86400; 0.09000;20.00000;20.00000;100.00000; 0.000000e+000;1.12819
 23.88200; 0.10000;20.00000;20.00000;100.00000; 0.000000e+000;1.12816
 23.88500; 0.11000;20.00000;20.00000;100.00000; 0.000000e+000;1.12816
 23.87100; 0.12000;20.00000;20.00000;100.00000; 0.000000e+000;1.12818
 23.88700; 0.13000;20.00000;20.00000;100.00000;-2.095573e-004;1.12815
 23.87700; 0.14000;20.00000;20.00000;100.00000;-3.460285e-003;1.12817
 23.88200; 0.15000;20.00000;20.00000;100.00000;-1.427874e-002;1.12816
 23.87900; 0.16000;20.00000;20.00000;100.00000;-3.871591e-002;1.12816
 23.88200; 0.17000;20.00000;20.00000;100.00000;-8.025056e-002;1.12816
 23.89600; 0.18000;20.00000;20.00000;100.00000;      -0.12756;1.12814
 23.87700; 0.19000;20.00000;20.00000;100.00000;      -0.15926;1.12817
 23.88000; 0.20000;20.00000;20.00000; 99.99153;      -0.15926;1.12816
 23.87400; 0.21000;20.00000;20.00000; 99.99153;      -0.12756;1.12817
 23.87400; 0.22000;20.00000;20.00000; 99.99153;-8.025056e-002;1.12817
 23.87900; 0.23000;20.00000;20.00000; 99.99153;-3.871591e-002;1.12816
 23.89300; 0.24000;20.00000;20.00000; 99.99153;-1.427874e-002;1.12815
 23.87900; 0.25000;20.00000;20.00000; 99.99153;-3.460285e-003;1.12816
 23.88100; 0.26000;20.00000;20.00000; 99.99153;-2.095573e-004;1.12816
 23.87800; 0.27000;20.00000;20.00000; 99.99153; 0.000000e+000;1.12817
 23.88800; 0.28000;20.00000;20.00000; 99.99153; 0.000000e+000;1.12815
 23.88500; 0.29000;20.00000;20.00000; 99.99153; 0.000000e+000;1.12816
 23.89900; 0.30000;20.00000;20.00000; 99.99153; 0.000000e+000;1.12814
 23.87400; 0.31000;20.00000;20.00000; 99.99153; 0.000000e+000;1.12817
 23.87700; 0.32000;20.00000;20.00000; 99.99153; 0.000000e+000;1.12817
 23.87000; 0.33000;20.00000;20.00000; 99.99153; 0.000000e+000;1.12818
 23.87800; 0.34000;20.00000;20.00000; 99.99153; 0.000000e+000;1.12817
 23.87100; 0.35000;20.00000;20.00000; 99.99153; 0.000000e+000;1.12818
 23.88000; 0.36000;20.00000;20.00000; 99.99153;-1.047787e-004;1.12816
 23.87900; 0.37000;20.00000;20.00000; 99.99153;-1.730142e-003;1.12816
 23.87400; 0.38000;20.00000;20.00000; 99.99153;-7.139370e-003;1.12817
 23.88300; 0.39000;20.00000;20.00000; 99.99153;-1.935795e-002;1.12816
 23.86700; 0.40000;20.00000;20.00000; 99.99153;-4.012528e-002;1.12818
 23.88400; 0.41000;20.00000;20.00000; 99.99153;-6.377812e-002;1.12816
 23.87400; 0.42000;20.00000;20.00000; 99.99153;-7.962876e-002;1.12817
 23.87000; 0.43000;20.00000;20.00000; 99.98729;-7.962876e-002;1.12818
 23.87900; 0.44000;20.00000;20.00000; 99.98729;-6.388290e-002;1.12816
 23.89700; 0.45000;20.00000;20.00000; 99.98729;-4.185542e-002;1.12814
 23.90800; 0.46000;20.00000;20.00000; 99.98729;-2.649732e-002;1.12812
 23.88500; 0.47000;20.00000;20.00000; 99.98729;-2.649732e-002;1.12816
 23.89600; 0.48000;20.00000;20.00000; 99.98729;-4.185542e-002;1.12814
 23.89300; 0.49000;20.00000;20.00000; 99.98729;-6.388290e-002;1.12815
 23.89400; 0.50000;20.00000;20.00000; 99.98729;-7.962876e-002;1.12814
 23.90700; 0.51000;20.00000;20.00000; 99.98305;-7.962876e-002;1.12813
 23.89700; 0.52000;20.00000;20.00000; 99.98305;-6.388290e-002;1.12814
 23.90200; 0.53000;20.00000;20.00000; 99.98305;-4.185542e-002;1.12813
 23.91600; 0.54000;20.00000;20.00000; 99.98305;-2.649732e-002;1.12811
 23.89700; 0.55000;20.00000;20.00000; 99.98305;-2.649732e-002;1.12814
 23.89900; 0.56000;20.00000;20.00000; 99.98305;-4.196020e-002;1.12814
 23.91200; 0.57000;20.00000;20.00000; 99.98305;-6.561304e-002;1.12812
 23.90900; 0.58000;20.00000;20.00000; 99.98305;-8.676813e-002;1.12812
 23.91400; 0.59000;20.00000;20.00000; 99.97881;-9.898671e-002;1.12812
 23.90800; 0.60000;20.00000;20.00000; 99.97881;      -0.10390;1.12812
 23.91400; 0.61000;20.00000;20.00000; 99.97881;      -0.10390;1.12812
 23.91100; 0.62000;20.00000;20.00000; 99.97881;-9.898671e-002;1.12812
 23.92200; 0.63000;20.00000;20.00000; 99.97458;-8.676813e-002;1.12810
 23.92200; 0.64000;20.00000;20.00000; 99.97458;-6.550826e-002;1.12810
 23.92800; 0.65000;20.00000;20.00000; 99.97458;-4.023006e-002;1.12810
 23.92900; 0.66000;20.00000;20.00000; 99.97458;-1.935795e-002;1.12809
 23.94000; 0.67000;20.00000;20.00000; 99.97458;-7.139370e-003;1.12808
 23.94200; 0.68000;20.00000;20.00000; 99.97458;-1.730142e-003;1.12808
 23.95100; 0.69000;20.00000;20.00000; 99.97458;-1.047787e-004;1.12806
 23.94000; 0.70000;20.00000;20.00000; 99.97458; 0.000000e+000;1.12808
 23.95100; 0.71000;20.00000;20.00000; 99.97458; 0.000000e+000;1.12806
 23.96000; 0.72000;20.00000;20.00000; 99.97458; 0.000000e+000;1.12805
 23.96000; 0.73000;20.00000;20.00000; 99.97458; 0.000000e+000;1.12805
 23.96800; 0.74000;20.00000;20.00000; 99.97458; 0.000000e+000;1.12804
 23.97600; 0.75000;20.00000;20.00000; 99.97458;-1.047787e-004;1.12803
 23.97100; 0.76000;20.00000;20.00000; 99.97458;-1.730142e-003;1.12804
 23.98100; 0.77000;20.00000;20.00000; 99.97458;-7.139370e-003;1.12802
 24.00000; 0.78000;20.00000;20.00000; 99.97458;-1.914840e-002;1.12800
 24.00300; 0.79000;20.00000;20.00000; 99.97458;-3.666499e-002;1.12799
 24.00600; 0.80000;20.00000;20.00000; 99.97458;-4.960416e-002;1.12799
 23.99200; 0.81000;20.00000;20.00000; 99.97458;-4.264299e-002;1.12801
 24.00300; 0.82000;20.00000;20.00000; 99.97034;-6.517569e-003;1.12799
 24.01500; 0.83000;20.00000;20.00000; 99.97034; 4.442017e-002;1.12798
 24.01800; 0.84000;20.00000;20.00000; 99.97034; 7.890218e-002;1.12797
 24.03200; 0.85000;20.00000;20.00000; 99.97881; 7.439130e-002;1.12795
 24.04100; 0.86000;20.00000;20.00000; 99.97881; 3.364875e-002;1.12794
 24.04300; 0.87000;20.00000;20.00000; 99.97458;-2.057107e-002;1.12794
 24.05000; 0.88000;20.00000;20.00000; 99.97458;-6.702241e-002;1.12793
 24.06400; 0.89000;20.00000;20.00000; 99.97458;-9.676403e-002;1.12791
 24.06800; 0.90000;20.00000;20.00000; 99.97458;      -0.11509;1.12790
 24.06200; 0.91000;20.00000;20.00000; 99.97034;      -0.13014;1.12791
 24.07200; 0.92000;20.00000;20.00000; 99.97034;      -0.14357;1.12790
 24.10400; 0.93000;20.00000;20.00000; 99.97034;      -0.15857;1.12785
 24.09300; 0.94000;20.00000;20.00000; 99.96610;      -0.17924;1.12787
 24.10900; 0.95000;20.00000;20.00000; 99.96610;      -0.19837;1.12784
 24.12200; 0.96000;20.00000;20.00000; 99.96610;      -0.19938;1.12783
